FIELD_name,commercialName,trt,Not Applicable_YLD_N/A,30DAA_LDSR_PUCCSO,Application A_LDSR_PUCCSO,R3_LDSR_PUCCSO,R3_LDSR_SETOTU,R4_LDSR_PUCCSO,R4_LDSR_SETOTU,R5_LDSR_PUCCSO,R5_LDSR_SETOTU,V7_LDSR_SETOTU,R1_LDSR_SETOTU,R4_LDSR_PSDMAV,VT_LDSR_PUCCSO,R6_LDSR_PUCCSO,Not Applicable_LDSR_PUCCSO,Not Applicable_LDSR_SETOTU,V12_LDSR_PUCCSO
RLOPE1_AZUL_SCHANG_LATE_FFUNG22,DK7272TRE,CRIPTON_XPRO,85.547486,0,0,,,,,,,,,,,,,,
RLOPE1_TANDIL_HEER_EARLY_FFUNG22,AX7761VT3P,CHECK,111.14,0,0,,,,,,,,,,,,,,
RLOPE1_TANDIL_HEER_EARLY_FFUNG22,AX7761VT3P,CRIPTON_XPRO,101.394174,0,0,,,,,,,,,,,,,,
RLOPE1_TANDIL_HEER_EARLY_FFUNG22,DK7210VT3P,CHECK,103.74,1,1,,,,0,,,,,,,,,,
RLOPE1_TANDIL_HEER_EARLY_FFUNG22,DK7210VT3P,CRIPTON_XPRO,91.352738,1,1,,,,,,,,,,,,,,
RLOPE1_TANDIL_HEER_EARLY_FFUNG22,DK7272TRE,CHECK,122.29,1,1,,,,,,,,,,,,,,
RLOPE1_TANDIL_HEER_EARLY_FFUNG22,DK7272TRE,CRIPTON_XPRO,101.294449,1,1,,,,,,,,,,,,,,
SRUIZ_LOSPEREYRA_BENITO1_FFUNG22,DK7210PRO4,CHECK,,,,0,,,,,,,,,0,,,,
SRUIZ_LOSPEREYRA_BENITO1_FFUNG22,DK7210PRO4,CRIPTON_XPRO,,,,0,,0,0,,,,,,0,,,,
SRUIZ_LOSPEREYRA_BENITO1_FFUNG22,DK7220VTPRO4,CHECK,,,,0,,,,,,,,,0,,,,
SRUIZ_LOSPEREYRA_BENITO1_FFUNG22,DK7220VTPRO4,CRIPTON_XPRO,,,,0,,0,0,,,,,,0,,,,
SRUIZ_LOSPEREYRA_BENITO1_FFUNG22,P2089VYHR,CHECK,,,,0,,,,,,,,,0,,,,
SRUIZ_LOSPEREYRA_BENITO1_FFUNG22,P2089VYHR,CRIPTON_XPRO,,,,0,,0,0,,,,,,0,,,,
SRUIZ_MOGOTE_ESPEJO_FFUNG22,DK7210PRO4,CHECK,60.039082,1,1,0,,,,0,0,,,,0,,,,
SRUIZ_MOGOTE_ESPEJO_FFUNG22,DK7210PRO4,CRIPTON_XPRO,55.279839,1,1,0,,,,0,0,,,,0,,,,
SRUIZ_MOGOTE_ESPEJO_FFUNG22,DK7220VTPRO4,CHECK,53.284639,1,1,0,,,,0,0,,,,0,,,,
SRUIZ_MOGOTE_ESPEJO_FFUNG22,DK7220VTPRO4,CRIPTON_XPRO,52.867349,1,1,0,,,,0,0,,,,0,,,,
SRUIZ_MOGOTE_ESPEJO_FFUNG22,P2089VYHR,CHECK,46.423093,1,1,0,,,,0,0,,,,0,,,,
SRUIZ_MOGOTE_ESPEJO_FFUNG22,P2089VYHR,CRIPTON_XPRO,47.295534,1,,0,,,,0,0,,,,0,1,,,
SRUIZ_PICHANAL_ROBERTOCHA_FFUNG22,DK7210PRO4,CHECK,59.875566,1,1,,,,,,,,,,,,1,0,
SRUIZ_PICHANAL_ROBERTOCHA_FFUNG22,DK7210PRO4,CRIPTON_XPRO,59.18552,1,1,,,0,0,,,,,,,,,,
SRUIZ_PICHANAL_ROBERTOCHA_FFUNG22,DK7220VTPRO4,CHECK,61.18,1,1,,,,,,,,,,,,1,0,
SRUIZ_PICHANAL_ROBERTOCHA_FFUNG22,DK7220VTPRO4,CRIPTON_XPRO,61.863905,1,1,,,0,0,,,,,,,,,,
SRUIZ_PICHANAL_ROBERTOCHA_FFUNG22,P2089VYHR,CHECK,54.758093,1,1,,,,,,,,,,,,1,0,
SRUIZ_PICHANAL_ROBERTOCHA_FFUNG22,P2089VYHR,CRIPTON_XPRO,56.214758,1,1,,,0,0,,,,,,,,,,
VVSENK_GILBERT_ECKERDT_EARLY_FFUNG22,AX7761VT3P,CHECK,40.912933,,,,,,,,,,,,,,,0,0
VVSENK_GILBERT_ECKERDT_EARLY_FFUNG22,AX7761VT3P,CRIPTON_XPRO,45.619826,,,,,,,,,,,,,,,0,0
VVSENK_GILBERT_ECKERDT_EARLY_FFUNG22,DK7210VT3P,CHECK,52.543305,,,,,0,0,,,,0,,,,,,0
VVSENK_GILBERT_ECKERDT_EARLY_FFUNG22,DK7210VT3P,CRIPTON_XPRO,45.174362,,,,,,,,,,,,,,,0,0
VVSENK_GILBERT_ECKERDT_EARLY_FFUNG22,DK7272TRE,CHECK,47.055509,,,,,,,,,,,,,,,0,0
VVSENK_GILBERT_ECKERDT_EARLY_FFUNG22,DK7272TRE,CRIPTON_XPRO,38.411893,,,,,,,,,,,,,,,0,0
