FIELD_Country,FIELD_field_latitude,FIELD_field_longitude,FIELD_name,FIELD_County,FIELD_plantingSeason,FIELD_pipeline,FIELD_year,commercialName,createdBrand,createdTechnology,OBS_observationRefCd,OBS_descriptorAbbreviation,OBS_numValue,REP_repetitionNumber,QC_Flag,OBS_growthStage,protocolTitle,SETS_setName
Argentina,-26.539865,-60.650689,CSALO9_AVIATERAY_DONSANTIAGO_FFUNG22_FAMB22,Independencia,2022,North,2023,DK7702TRE,,,YLD,N/A,80.477982,1,,Not Applicable,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNNORTEA2
Argentina,-33.978761690924,-61.627261021992,EEBONA_VILLACANAS_FUMISEM_LATE_FFUNG22,General Lopez,2022,South,2022,DK7270VT3P,DEKALB,,YLD,N/A,76.44,1,,Not Applicable,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNTEMPL
Argentina,-32.74015408,-62.53816159,DBORE_SANMARCOS_GHIGLIONE_EARLY_FFUNG22,Union,2022,South,2022,NEXT226PWE,,,YLD,N/A,63.53,1,,Not Applicable,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNTEMPL
Argentina,-32.74015408,-62.53816159,DBORE_SANMARCOS_GHIGLIONE_EARLY_FFUNG22,Union,2022,South,2022,AX7761VT3P,NIDERA,VT3P,LDSR,PUCCSO,0,1,,30DAA,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNTEMFUNG
Argentina,-33.038281601986,-63.6784169272,GGBLAN_BENGOLEA_ELORZA_LATE_GEO_FUNG22,Juarez Celman,2022,South,2022,NEXT226PWE,,,YLD,N/A,84.55,1,,Not Applicable,ARG 22 SM COM CORN GERM GEO FTN,GEOFTNTAP
Argentina,-26.539865,-60.650689,CSALO9_AVIATERAY_DONSANTIAGO_FFUNG22_FAMB22,Independencia,2022,North,2023,DK7270TRE,,,YLD,N/A,71.350461,1,,Not Applicable,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNNORTEA2
Argentina,-33.978761690924,-61.627261021992,EEBONA_VILLACANAS_FUMISEM_LATE_FFUNG22,General Lopez,2022,South,2022,LT723PRO4,,,YLD,N/A,79.17,1,,Not Applicable,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNTEMPL
Argentina,-32.41625391,-58.89799788,VVSENK_GILBERT_ECKERDT_EARLY_FFUNG22,Gualeguaychu,2022,South,2022,AX7761VT3P,NIDERA,VT3P,YLD,N/A,40.912933,1,,Not Applicable,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNTEMPL
Argentina,-26.539865,-60.650689,CSALO9_AVIATERAY_DONSANTIAGO_FFUNG22_FAMB22,Independencia,2022,North,2023,DS510PWU,CORTEVA,,YLD,N/A,80.90338,1,,Not Applicable,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNNORTEA2
Argentina,-32.41625391,-58.89799788,VVSENK_GILBERT_ECKERDT_EARLY_FFUNG22,Gualeguaychu,2022,South,2022,LT721PRO4,,,YLD,N/A,46.424882,1,,Not Applicable,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNTEMPL
Argentina,-33.038281601986,-63.6784169272,GGBLAN_BENGOLEA_ELORZA_LATE_GEO_FUNG22,Juarez Celman,2022,South,2022,DK7272TRE,,,LDSR,PUCCSO,0,1,,Application A,ARG 22 SM COM CORN GERM GEO FTN,GEOFTNTBP
Argentina,-32.41625391,-58.89799788,VVSENK_GILBERT_ECKERDT_EARLY_FFUNG22,Gualeguaychu,2022,South,2022,LT725VT3P,LA TIJERETA,,YLD,N/A,53.455702,1,,Not Applicable,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNTEMPL
Argentina,-37.204900210336,-59.285430026733,RLOPE1_TANDIL_HEER_EARLY_FFUNG22,Tandil,2022,South,2022,AX7175MQK1,,,YLD,N/A,108.46,1,,Not Applicable,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNTEMPL
Argentina,-26.539865,-60.650689,CSALO9_AVIATERAY_DONSANTIAGO_FFUNG22_FAMB22,Independencia,2022,North,2023,DK7710VT3P,DEKALB,,YLD,N/A,81.37103,1,,Not Applicable,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNNORTEA3
Argentina,-36.1538758,-62.5857026,GLNQJ_TRENQUELAUQUEN_YARZA_LATE_FFUNG22,Trenque Lauquen,2022,South,2022,AX7761VT3P,NIDERA,VT3P,LDSR,PUCCSO,1,1,,Application A,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNTEMFUNG
Argentina,-33.038281601986,-63.6784169272,GGBLAN_BENGOLEA_ELORZA_LATE_GEO_FUNG22,Juarez Celman,2022,South,2022,DK7210RR2,DEKALB,,YLD,N/A,78.9,1,,Not Applicable,ARG 22 SM COM CORN GERM GEO FTN,GEOFTNTAP
Argentina,-26.539865,-60.650689,CSALO9_AVIATERAY_DONSANTIAGO_FFUNG22_FAMB22,Independencia,2022,North,2023,DK7702TRE,,,YLD,N/A,80.477982,1,,Not Applicable,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNNORTEA3
Argentina,-23.36341,-64.053705,SRUIZ_PICHANAL_ROBERTOCHA_FFUNG22,Oran,2022,North,2023,DS510PWU,CORTEVA,,YLD,N/A,51.183432,1,,Not Applicable,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNNORTE
Argentina,-32.5546041,-64.3840154,GGBLAN_ELENA_BUSILLI_EARLY_GEO_FFUNG22,Rio Cuarto,2022,South,2022,DK7272TRE,,,LDSR,PUCCSO,0,1,,Application A,ARG 22 SM COM CORN GERM GEO FTN,GEOFTNTMP
Argentina,-36.1538758,-62.5857026,GLNQJ_TRENQUELAUQUEN_YARZA_LATE_FFUNG22,Trenque Lauquen,2022,South,2022,NK979VIP3,,,YLD,N/A,100.14,1,,Not Applicable,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNTEMPL
Argentina,-25.979988842961,-65.080862991629,SRUIZ_MOGOTE_ESPEJO_FFUNG22,Rosario de la Frontera,2022,North,2022,DK7210PRO4,,,LDSR,PUCCSO,0,1,,R3,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNNORFUNG
Argentina,-34.011230642844,-60.789110091006,GFKVN_PINZON_TESTA_EARLY_FFUNG22,Pergamino,2022,South,2022,DK7272TRE,,,LDSR,PUCCSO,0,1,,Application A,ARG 22 SM COM CORN GERM FTN (ARG/URY),FTNTEMFUNG
